"","id","search_query","topic","top_terms"
"1",24439,"israel palestine war",1,"war, gaza, netanyahu, support, end"
"2",24439,"israel palestine war",2,"netanyahu, may, also, war, israel"
"3",24439,"israel palestine war",3,"israeli, netanyahu, ministers, october, victory"
"4",63950,"israel palestine war",1,"people, jewish, see, zionism, palestine"
"5",63950,"israel palestine war",2,"people, religion, zionism, can, know"
"6",63950,"israel palestine war",3,"jewish, people, judaism, know, now"
"7",79726,"israel palestine war",1,"madrasa, children, good, started, schools"
"8",79726,"israel palestine war",2,"sexual, abuse, family, one, justice"
"9",79726,"israel palestine war",3,"one, know, children, pakistan, madrasa"
"10",56956,"israel palestine war",1,"gaza, actually, know, people, aid"
"11",56956,"israel palestine war",2,"people, know, now, gaza, israeli"
"12",56956,"israel palestine war",3,"gaza, aid, israel, can, people"
"13",96340,"israel palestine war",1,"jerusalem, going, know, green, line"
"14",96340,"israel palestine war",2,"one, line, living, temple, say"
"15",96340,"israel palestine war",3,"green, temple, israel, palestinians, line"
"16",36403,"israel palestine war",1,"israeli, gaza, genocide, say, war"
"17",36403,"israel palestine war",2,"israel, war, gaza, palestinians, aid"
"18",36403,"israel palestine war",3,"gaza, israel, aid, now, israeli"
"19",70293,"israel palestine war",1,"israeli, really, army, now, soldier"
"20",70293,"israel palestine war",2,"soldiers, pressure, two, gaza, israeli"
"21",70293,"israel palestine war",3,"israeli, also, soldiers, gaza, captives"
"22",95248,"israel palestine war",1,"israeli, gaza, one, systems, drones"
"23",95248,"israel palestine war",2,"can, palestinians, also, hamas, know"
"24",95248,"israel palestine war",3,"israel, technology, military, gaza, people"
"25",65006,"israel palestine war",1,"mean, just, well, people, know"
"26",65006,"israel palestine war",2,"going, people, gaza, just, know"
"27",65006,"israel palestine war",3,"people, international, know, like, law"
"28",79255,"israel palestine war",1,"american, israeli, people, can, settlers"
"29",79255,"israel palestine war",2,"settlements, palestinians, israeli, going, israel"
"30",79255,"israel palestine war",3,"israeli, settlers, palestinians, soldiers, one"
"31",64312,"israel palestine war",1,"rescue, can, people, four, ship"
"32",64312,"israel palestine war",2,"gaza, now, people, can, nonviolent"
"33",64312,"israel palestine war",3,"flotilla, gaza, people, ship, also"
"34",34308,"israel palestine war",1,"madawi, vermont, new, asked, mosen"
"35",34308,"israel palestine war",2,"people, vermont, going, peace, also"
"36",34308,"israel palestine war",3,"pain, well, want, justice, university"
"37",84507,"israel palestine war",1,"know, like, going, right, mean"
"38",84507,"israel palestine war",2,"know, war, israel, want, going"
"39",84507,"israel palestine war",3,"america, trump, donald, know, put"
"40",15315,"israel palestine war",1,"zionism, israel, even, know, america"
"41",15315,"israel palestine war",2,"jews, state, israel, jewish, nationality"
"42",15315,"israel palestine war",3,"israel, jewish, like, jews, want"
"43",70077,"israel palestine war",1,"israel, law, international, court, people"
"44",70077,"israel palestine war",2,"israel, international, palestinian, law, people"
"45",70077,"israel palestine war",3,"right, international, opinion, israel, law"
"46",95368,"israel palestine war",1,"law, university, harvard, federal, court"
"47",95368,"israel palestine war",2,"trump, country, universities, see, administration"
"48",95368,"israel palestine war",3,"harvard, trying, law, professor, administration"
"49",49118,"israel palestine war",1,"financial, korea, crisis, kong, thailand"
"50",49118,"israel palestine war",2,"financial, crisis, global, world, loans"
"51",49118,"israel palestine war",3,"crisis, world, asian, companies, time"
"52",17935,"israel palestine war",1,"international, law, gaza, israel, people"
"53",17935,"israel palestine war",2,"law, israel, one, states, also"
"54",17935,"israel palestine war",3,"israel, law, international, human, civilians"
"55",12549,"israel palestine war",1,"canada, just, trade, mean, think"
"56",12549,"israel palestine war",2,"united, defense, think, going, moment"
"57",12549,"israel palestine war",3,"canada, trade, america, tariffs, like"
"58",32097,"israel palestine war",1,"israel, aid, gaza, humanitarian, get"
"59",32097,"israel palestine war",2,"aid, gaza, know, plan, chris"
"60",32097,"israel palestine war",3,"people, gaza, aid, think, plan"
"61",59528,"israel palestine war",1,"research, scientific, china, antarctic, united"
"62",59528,"israel palestine war",2,"antarctic, china, treaty, antarctica, russia"
"63",59528,"israel palestine war",3,"antarctica, treaty, well, research, interests"
"64",43069,"israel palestine war",1,"just, say, terry, criminal, court"
"65",43069,"israel palestine war",2,"one, like, audience, people, can"
"66",43069,"israel palestine war",3,"terry, audience, said, fact, people"
"67",48390,"israel palestine war",1,"audience, just, people, health, laughs"
"68",48390,"israel palestine war",2,"audience, laughs, like, research, make"
"69",48390,"israel palestine war",3,"laughs, get, like, cuts, know"
"70",46780,"israel palestine war",1,"data, water, center, community, centers"
"71",46780,"israel palestine war",2,"silicon, water, just, empire, energy"
"72",46780,"israel palestine war",3,"valley, data, one, empire, sam"
"73",11187,"israel palestine war",1,"laughter, know, look, like, well"
"74",11187,"israel palestine war",2,"laughter, trump, president, even, news"
"75",11187,"israel palestine war",3,"laughter, bleep, one, just, gonna"
"76",35466,"israel palestine war",1,"laughs, fcc, press, like, audience"
"77",35466,"israel palestine war",2,"audience, trump, answer, like, network"
"78",35466,"israel palestine war",3,"laughs, audience, trump, like, just"
"79",82029,"israel palestine war",1,"love, prophet, allah, saws, messenger"
"80",82029,"israel palestine war",2,"allah, prophet, saws, one, know"
"81",82029,"israel palestine war",3,"allah, love, prophet, person, sallallahu"
"82",76707,"israel palestine war",1,"know, malaysia, dollars, one, think"
"83",76707,"israel palestine war",2,"know, jolo, money, now, china"
"84",76707,"israel palestine war",3,"jolo, 1mdb, money, think, legal"
"85",77598,"israel palestine war",1,"just, ewtn, can, school, like"
"86",77598,"israel palestine war",2,"well, pope, lot, math, people"
"87",77598,"israel palestine war",3,"now, catholic, musk, president, can"
"88",36042,"israel palestine war",1,"just, first, like, one, know"
"89",36042,"israel palestine war",2,"church, years, people, united, dark"
"90",36042,"israel palestine war",3,"like, churches, gospel, church, one"
"91",25814,"israel palestine war",1,"israeli, think, regime, know, syria"
"92",25814,"israel palestine war",2,"israel, israeli, know, regime, region"
"93",25814,"israel palestine war",3,"people, israel, resistance, gaza, know"
"94",72776,"israel palestine war",1,"violence, israeli, settler, palestinians, often"
"95",72776,"israel palestine war",2,"violence, settlers, palestinian, palestinians, settler"
"96",72776,"israel palestine war",3,"palestinians, settlers, settler, palestinian, often"
"97",87474,"israel palestine war",1,"palestinians, people, palestinian, land, homes"
"98",87474,"israel palestine war",2,"people, israeli, gaza, zionist, expelled"
"99",87474,"israel palestine war",3,"gaza, jordan, palestinians, one, israeli"
"100",34767,"israel palestine war",1,"musk, know, trump, really, musk's"
"101",34767,"israel palestine war",2,"kind, now, elon, mean, trump"
"102",34767,"israel palestine war",3,"think, always, trump, big, kind"
"103",22707,"israel palestine war",1,"american, israel, people, think, palestinian"
"104",22707,"israel palestine war",2,"know, palestinian, say, just, like"
"105",22707,"israel palestine war",3,"know, say, time, book, people"
"106",28526,"israel palestine war",1,"trump, one, mean, like, thank"
"107",28526,"israel palestine war",2,"trump, like, right, look, white"
"108",28526,"israel palestine war",3,"like, elon, trump, going, president"
"109",80363,"israel palestine war",1,"care, gaza, hospitals, left, children"
"110",80363,"israel palestine war",2,"gaza, children, now, immediate, see"
"111",80363,"israel palestine war",3,"health, one, children, system, gaza"
"112",48754,"israel palestine war",1,"just, children, mean, time, gaza"
"113",48754,"israel palestine war",2,"killed, people, gaza, now, know"
"114",48754,"israel palestine war",3,"mean, know, just, now, school"
"115",67841,"israel palestine war",1,"trump, president, new, including, school"
"116",67841,"israel palestine war",2,"russia, gaza, trump, european, ukraine"
"117",67841,"israel palestine war",3,"new, trump, said, quote, health"
"118",53252,"israel palestine war",1,"know, going, trump, world, america"
"119",53252,"israel palestine war",2,"know, country, way, say, fight"
"120",53252,"israel palestine war",3,"know, trump, just, now, like"
"121",68199,"israel palestine war",1,"trump, jeffrey, mean, know, president"
"122",68199,"israel palestine war",2,"think, trump, going, israel, goldberg"
"123",68199,"israel palestine war",3,"goldberg, jeffrey, donald, david, really"
"124",11967,"israel palestine war",1,"people, abrego, said, cuts, garcia"
"125",11967,"israel palestine war",2,"trump, musk, elon, garcia, administration"
"126",11967,"israel palestine war",3,"now, trump, bill, bananas, going"
"127",29467,"israel palestine war",1,"like, universities, american, much, know"
"128",29467,"israel palestine war",2,"today, mccarthyism, student, trump, federal"
"129",29467,"israel palestine war",3,"universities, american, university, now, higher"
"130",27836,"israel palestine war",1,"states, weapons, war, united, iraq"
"131",27836,"israel palestine war",2,"war, iraq, oil, weapons, destruction"
"132",27836,"israel palestine war",3,"states, united, iraq, george, kuwait"
"133",40783,"israel palestine war",1,"population, palestine, going, austrian, just"
"134",40783,"israel palestine war",2,"one, population, like, palestinian, israelis"
"135",40783,"israel palestine war",3,"palestine, jewish, british, land, going"
"136",28384,"israel palestine war",1,"wasallam, alaihi, one, know, said"
"137",28384,"israel palestine war",2,"allah, wasallam, prophet, said, one"
"138",28384,"israel palestine war",3,"prophet, allah, right, people, alaihi"
"139",52940,"israel palestine war",1,"jewish, jews, country, religion, people"
"140",52940,"israel palestine war",2,"jews, jew, israel, now, like"
"141",52940,"israel palestine war",3,"israel, jews, nationality, say, zionism"
"142",66200,"israel palestine war",1,"world, state, war, know, question"
"143",66200,"israel palestine war",2,"israel, international, world, gaza, solution"
"144",66200,"israel palestine war",3,"war, world, international, even, state"
"145",88447,"israel palestine war",1,"fee, know, want, think, client"
"146",88447,"israel palestine war",2,"can, right, feebased, adviser, think"
"147",88447,"israel palestine war",3,"know, right, can, financial, well"
"148",89681,"israel palestine war",1,"war, people, going, know, just"
"149",89681,"israel palestine war",2,"know, people, going, war, well"
"150",89681,"israel palestine war",3,"know, war, congress, think, country"
"151",27563,"israel palestine war",1,"think, know, xrp, really, crypto"
"152",27563,"israel palestine war",2,"think, going, want, now, like"
"153",27563,"israel palestine war",3,"now, know, xrp, kind, look"
"154",85866,"israel palestine war",1,"trump, brooks, one, administration, william"
"155",85866,"israel palestine war",2,"david, william, brooks, people, trump"
"156",85866,"israel palestine war",3,"think, brangham, just, going, say"
"157",47638,"israel palestine war",1,"know, union, going, workers, administration"
"158",47638,"israel palestine war",2,"people, administration, employees, know, continue"
"159",47638,"israel palestine war",3,"federal, employees, people, just, trump"
"160",55954,"israel palestine war",1,"tenant, lease, language, paragraph, landlord"
"161",55954,"israel palestine war",2,"tenant, case, agreement, lease, policy"
"162",55954,"israel palestine war",3,"tenant, trial, insurance, sutton, court"
"163",31228,"israel palestine war",1,"bloomberg, new, federal, also, news"
"164",31228,"israel palestine war",2,"morning, tariffs, good, says, karen"
"165",31228,"israel palestine war",3,"president, bloomberg, trump, think, well"
"166",96859,"israel palestine war",1,"trump, one, country, new, quote"
"167",96859,"israel palestine war",2,"trump, people, federal, monday, health"
"168",96859,"israel palestine war",3,"people, administration, trump, health, cuts"
"169",22380,"israel palestine war",1,"court, tariffs, trump, trade, donald"
"170",22380,"israel palestine war",2,"donald, court, trump, trade, appeals"
"171",22380,"israel palestine war",3,"trump, states, court, international, united"
"172",58418,"israel palestine war",1,"china, road, port, silk, infrastructure"
"173",58418,"israel palestine war",2,"china, chinese, new, duisburg, two"
"174",58418,"israel palestine war",3,"chinese, alibaba, europe, logistics, trade"
"175",27576,"israel palestine war",1,"crisis, downturn, economy, world, recession"
"176",27576,"israel palestine war",2,"recession, economic, growth, inflation, economy"
"177",27576,"israel palestine war",3,"economy, crisis, growth, china, much"
"178",49941,"israel palestine war",1,"know, people, going, things, right"
"179",49941,"israel palestine war",2,"people, come, like, going, know"
"180",49941,"israel palestine war",3,"like, just, fire, see, one"
"181",94398,"israel palestine war",1,"court, international, gaza, israel, now"
"182",94398,"israel palestine war",2,"israel, international, gaza, unra, israeli"
"183",94398,"israel palestine war",3,"israel, unra, international, people, israel's"
"184",86839,"israel palestine war",1,"china, kind, african, think, can"
"185",86839,"israel palestine war",2,"kind, countries, china, think, president"
"186",86839,"israel palestine war",3,"countries, china, kind, african, terms"
"187",47266,"israel palestine war",1,"think, defense, french, kind, countries"
"188",47266,"israel palestine war",2,"china, france, really, countries, also"
"189",47266,"israel palestine war",3,"think, france, french, asia, really"
"190",38319,"israel palestine war",1,"world, order, know, global, china"
"191",38319,"israel palestine war",2,"countries, economic, order, bricks, going"
"192",38319,"israel palestine war",3,"china, economic, think, now, global"
"193",24863,"israel palestine war",1,"elon, trump, helped, like, kanye"
"194",24863,"israel palestine war",2,"elon, okay, musk, one, trump"
"195",24863,"israel palestine war",3,"know, trump, now, new, elon"
"196",53139,"israel palestine war",1,"gaza, israel, said, aid, even"
"197",53139,"israel palestine war",2,"trump, much, israeli, israel, gaza"
"198",53139,"israel palestine war",3,"israel, hamas, official, israeli, said"
"199",33729,"israel palestine war",1,"think, putin, ukraine, trump, really"
"200",33729,"israel palestine war",2,"trump, can, really, right, think"
"201",33729,"israel palestine war",3,"putin, trump, russia, ukraine, see"
"202",69927,"israel palestine war",1,"tsmc, fab, make, advanced, now"
"203",69927,"israel palestine war",2,"tsmc, chips, chip, arizona, fab"
"204",69927,"israel palestine war",3,"chips, advanced, tsmc, taiwan, like"
"205",74869,"israel palestine war",1,"china, ports, countries, like, china's"
"206",74869,"israel palestine war",2,"port, chinese, countries, network, trade"
"207",74869,"israel palestine war",3,"china, military, network, china's, chinese"
"208",31878,"israel palestine war",1,"back, bangladesh, people, india, reform"
"209",31878,"israel palestine war",2,"people, bangladesh, country, new, whether"
"210",31878,"israel palestine war",3,"government, bangladesh, said, want, election"
"211",79259,"israel palestine war",1,"think, well, trump, know, gulf"
"212",79259,"israel palestine war",2,"trump, think, qatar, visit, get"
"213",79259,"israel palestine war",3,"saudi, mean, trump, qatar, actually"
"214",65660,"israel palestine war",1,"latin, china, america, mean, countries"
"215",65660,"israel palestine war",2,"china, america, countries, region, can"
"216",65660,"israel palestine war",3,"know, region, america, china, well"
"217",71906,"israel palestine war",1,"also, put, taylor, one, point"
"218",71906,"israel palestine war",2,"one, like, georgia, talk, furries"
"219",71906,"israel palestine war",3,"right, just, man, know, georgia"
"220",19011,"israel palestine war",1,"tax, companies, money, actually, swiss"
"221",19011,"israel palestine war",2,"tax, companies, jobs, money, profits"
"222",19011,"israel palestine war",3,"pay, taxes, just, like, now"
"223",90669,"israel palestine war",1,"million, people, deportation, like, just"
"224",90669,"israel palestine war",2,"deportation, people, trump, also, much"
"225",90669,"israel palestine war",3,"people, immigrants, one, trump, mass"
"226",28337,"israel palestine war",1,"musk, elon, trump's, donald, going"
"227",28337,"israel palestine war",2,"musk, elon, bill, budget, donald"
"228",28337,"israel palestine war",3,"trump, donald, elon, bill, said"
"229",66499,"israel palestine war",1,"poland, president, polls, well, election"
"230",66499,"israel palestine war",2,"president, government, poland, can, also"
"231",66499,"israel palestine war",3,"poland, government, president, election, liberal"
"232",34272,"israel palestine war",1,"world, ukraine, russian, trump, russia"
"233",34272,"israel palestine war",2,"ukraine, russia, president, ceasefire, now"
"234",34272,"israel palestine war",3,"ceasefire, russia, trump, russian, putin"
"235",78556,"israel palestine war",1,"eop, uganda, construction, project, also"
"236",78556,"israel palestine war",2,"pipeline, project, tanzania, oil, also"
"237",78556,"israel palestine war",3,"eop, uganda, pipeline, oil, construction"
"238",61821,"israel palestine war",1,"donald, elon, trump, musk, said"
"239",61821,"israel palestine war",2,"musk, trump, donald, people, day"
"240",61821,"israel palestine war",3,"trump, elon, donald, musk, president"
"241",39188,"israel palestine war",1,"tariffs, like, laughs, one, can"
"242",39188,"israel palestine war",2,"just, tariffs, laughs, audience, right"
"243",39188,"israel palestine war",3,"audience, laughs, trump, trade, know"
"244",52412,"israel palestine war",1,"bail, now, reform, people, like"
"245",52412,"israel palestine war",2,"bail, just, people, reform, one"
"246",52412,"israel palestine war",3,"bail, can, people, even, new"
"247",56688,"israel palestine war",1,"sex, workers, one, human, people"
"248",56688,"israel palestine war",2,"sex, work, workers, new, now"
"249",56688,"israel palestine war",3,"sex, people, like, trafficking, one"
"250",51961,"israel palestine war",1,"think, now, tariffs, democracy, people"
"251",51961,"israel palestine war",2,"think, just, america, trump, people"
"252",51961,"israel palestine war",3,"going, economic, like, since, billion"
"253",43726,"israel palestine war",1,"taiwan, china, one, states, chinese"
"254",43726,"israel palestine war",2,"china, taiwan, island, beijing, united"
"255",43726,"israel palestine war",3,"china, chinese, chain, military, also"
"256",91134,"israel palestine war",1,"gaza, people, palestinian, now, going"
"257",91134,"israel palestine war",2,"think, britain, global, also, ever"
"258",91134,"israel palestine war",3,"people, think, europe, going, now"
"259",85926,"israel palestine war",1,"trump, tuesday, secretary, like, court"
"260",85926,"israel palestine war",2,"president, state, corpus, like, people"
"261",85926,"israel palestine war",3,"tuesday, secretary, israel, rubio, senator"
"262",30309,"israel palestine war",1,"book, data, development, try, really"
"263",30309,"israel palestine war",2,"china, actually, really, well, data"
"264",30309,"israel palestine war",3,"companies, actually, company, really, costs"
"265",13749,"israel palestine war",1,"know, right, think, whether, kind"
"266",13749,"israel palestine war",2,"know, right, think, israel, people"
"267",13749,"israel palestine war",3,"going, just, like, trump, right"
"268",74215,"israel palestine war",1,"co-pilot, want, use, within, word"
"269",74215,"israel palestine war",2,"can, use, see, now, prompt"
"270",74215,"israel palestine war",3,"information, key, now, researcher, case"
"271",15156,"israel palestine war",1,"laughter, announcement, big, going, know"
"272",15156,"israel palestine war",2,"jet, one, now, trump, president"
"273",15156,"israel palestine war",3,"fat, laughter, friend, guy, like"
"274",13728,"israel palestine war",1,"know, big, like, social, tulsi"
"275",13728,"israel palestine war",2,"season, one, fox, news, fema"
"276",13728,"israel palestine war",3,"know, yes, trump, man, right"
"277",84664,"israel palestine war",1,"jesus, like, american, noem, going"
"278",84664,"israel palestine war",2,"right, know, hey, got, like"
"279",84664,"israel palestine war",3,"laughter, know, corpus, noem, kristi"
"280",81573,"israel palestine war",1,"just, utilities, can, like, twinkle"
"281",81573,"israel palestine war",2,"utilities, cost, can, get, make"
"282",81573,"israel palestine war",3,"now, just, one, ready, utility"
"283",28345,"israel palestine war",1,"food, just, one, even, get"
"284",28345,"israel palestine war",2,"food, just, get, time, think"
"285",28345,"israel palestine war",3,"like, food, even, look, dates"
"286",15214,"israel palestine war",1,"world, elon, musk, president, times"
"287",15214,"israel palestine war",2,"trump, elon, one, times, post"
"288",15214,"israel palestine war",3,"musk, donald, biden, trump, white"
"289",48917,"israel palestine war",1,"families, people, time, can, bonds"
"290",48917,"israel palestine war",2,"going, howard, pay, lutnik, get"
"291",48917,"israel palestine war",3,"lutnik, tariffs, going, think, bonds"
"292",32836,"israel palestine war",1,"say, wasallam, provide, alaihi, allah"
"293",32836,"israel palestine war",2,"allah, one, provide, say, children"
"294",32836,"israel palestine war",3,"hadith, said, provide, children, kill"
"295",72424,"israel palestine war",1,"wudu, allah, wasallam, subhanahu, prophet"
"296",72424,"israel palestine war",2,"prophet, wasallam, alaihi, wudu, allah"
"297",72424,"israel palestine war",3,"wudu, allah, sallallahu, ta'aala, subhanahu"
"298",54293,"israel palestine war",1,"day, best, year, dua, right"
"299",54293,"israel palestine war",2,"right, islam, man, prophet, says, boy"
"300",54293,"israel palestine war",3,"time, allah, right, subhanahu, heart"
"301",38138,"israel palestine war",1,"money, can, laundering, one, also"
"302",38138,"israel palestine war",2,"well, laundering, like, transactions, money"
"303",38138,"israel palestine war",3,"can, property, one, money, like"
"304",37914,"israel palestine war",1,"goldman, like, just, now, wealth"
"305",37914,"israel palestine war",2,"sovereign, goldman, 1mdb, sachs, wealth"
"306",37914,"israel palestine war",3,"goldman, money, funds, like, billion"
"307",61670,"israel palestine war",1,"humanitarian, can, lecturers, years, university"
"308",61670,"israel palestine war",2,"little, world, one, bot, coast"
"309",61670,"israel palestine war",3,"people, university, need, sudan, young"
"310",91060,"israel palestine war",1,"know, think, pope, people, sort"
"311",91060,"israel palestine war",2,"just, church, right, think, well"
"312",91060,"israel palestine war",3,"pope, right, kind, people, think"
"313",58174,"israel palestine war",1,"love, lord, feed, alleluia, sheep"
"314",58174,"israel palestine war",2,"peter, lord, christ, simon, god"
"315",58174,"israel palestine war",3,"lord, established, throne, heaven, said"
"316",44708,"israel palestine war",1,"trump, now, donald, ukraine, office"
"317",44708,"israel palestine war",2,"trump, meeting, also, ukraine, say"
"318",44708,"israel palestine war",3,"now, really, german, germany, much"
"319",32964,"israel palestine war",1,"like, just, well, know, yes"
"320",32964,"israel palestine war",2,"thank, say, know, going, okay"
"321",32964,"israel palestine war",3,"thank, yes, much, love, think"
"322",53238,"israel palestine war",1,"believe, get, just, god, say"
"323",53238,"israel palestine war",2,"good, just, right, now, got"
"324",53238,"israel palestine war",3,"max, singer, name, good, yeah"
"325",36093,"israel palestine war",1,"every, king, lord, jesus, holy, mighty, heaven, almighty, nation, knee, bow"
"326",36093,"israel palestine war",2,"still, one, can, every, girl, mama, gone"
"327",36093,"israel palestine war",3,"home, knew, love, calling, see"
"328",53850,"israel palestine war",1,"home, working, going, work, like"
"329",53850,"israel palestine war",2,"home, work, working, time, think"
"330",53850,"israel palestine war",3,"work, people, just, think, know"
"331",66742,"israel palestine war",1,"iran, right, going, israel, state"
"332",66742,"israel palestine war",2,"samaria, israel, palestinian, one, andrew"
"333",66742,"israel palestine war",3,"hamas, really, israel, andrew, well"
"334",97634,"israel palestine war",1,"round, table, can, one, recommendations"
"335",97634,"israel palestine war",2,"everyone, like, yesterday, now, thank"
"336",97634,"israel palestine war",3,"skills, one, training, innovation, workshop"
"337",58615,"israel palestine war",1,"food, know, netanyahu, people, really"
"338",58615,"israel palestine war",2,"food, get, continue, need, catastrophe"
"339",58615,"israel palestine war",3,"need, getting, seen, now, trucks"
"340",12837,"israel palestine war",1,"night, gaza, dead, israeli, tuesday"
"341",12837,"israel palestine war",2,"bombing, just, people, lay, hospital"
"342",12837,"israel palestine war",3,"sorry, children, just, first, areas"
"343",91592,"israel palestine war",1,"angeles, people, los, just, immigration"
"344",91592,"israel palestine war",2,"angeles, people, just, los, chris"
"345",91592,"israel palestine war",3,"los, angeles, one, fear, ice"
"346",62322,"israel palestine war",1,"allah, strength, one, wealth, people"
"347",62322,"israel palestine war",2,"allah, hearts, matter, idols, truth"
"348",62322,"israel palestine war",3,"people, one, let, allah, like"
"349",43683,"israel palestine war",1,"alaihi, wasallam, prophet, sallallahu, allah"
"350",43683,"israel palestine war",2,"prophet, alaihi, sallallahu, wasallam, hajj"
"351",43683,"israel palestine war",3,"wasallam, sallallahu, hajj, complete, said"
